,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,week,date
20211117,-0.45,2.1,-0.49,-1.73,-0.33,-0.18,-0.39,0.01,0.11,-0.99,151,15/11/2021
20211118,-0.6,-0.06,-0.23,-0.48,0.64,-1.28,1.9,-0.45,-0.59,-0.59,151,15/11/2021
20211119,-0.75,2.38,-0.53,-4.01,0.51,-1.16,-0.65,-0.36,0.33,-0.96,151,15/11/2021
20211122,0.36,1.89,0.2,1.76,-1.56,-0.04,-0.8,-0.8,0.58,0.21,152,22/11/2021
20211123,0.25,-3.21,0.12,3.24,-0.59,0.12,0.14,-0.23,0.39,1.05,152,22/11/2021
20211124,-0.41,0.34,-0.15,1.01,0.7,-0.35,0.06,0.09,0.16,0.1,152,22/11/2021
20211126,-1.75,-2.9,-2.49,-4.38,-2.14,-1.14,-1.93,-0.62,-1.72,-3.1,152,22/11/2021
20211129,0.33,3.46,0.63,0.83,2.14,-0.24,0.62,-0.33,1.19,0.36,153,29/11/2021
20211130,-2.58,-0.17,-2.47,-2.45,-1.52,-3.1,-1.96,-1.43,-3.07,-2.47,153,29/11/2021
20211201,-0.64,-3.33,-0.89,-1.41,-1.9,-1.99,-1.62,-0.72,-0.02,-1.52,153,29/11/2021
20211202,1.6,0.08,1.87,2.87,0.98,3.69,1.05,0.62,1.44,2.82,153,29/11/2021
20211203,0.76,-5.03,0.02,-0.85,-1.76,0.84,-0.53,-0.6,0.76,-1.32,153,29/11/2021
20211206,1.5,-0.03,1.44,1.76,0.85,0.88,1.4,0.34,1.63,1.96,154,6/12/2021
20211207,0.63,3.55,1.39,2.43,3.34,-1.26,1.84,1.91,0.8,1.61,154,6/12/2021
20211208,-0.12,1.45,0.47,0.08,0.88,-0.31,-0.3,0.76,0.04,0.08,154,6/12/2021
20211209,-0.55,-4.84,-0.68,-0.93,-1.29,-1.43,-0.5,-0.84,-0.45,-0.47,154,6/12/2021
20211210,0.97,1.76,0.38,0.78,1.33,0.25,0.4,-0.2,0.5,0.31,154,6/12/2021
20211213,0.7,-4.38,-0.96,-2.86,-1.28,-0.95,-1.27,1.21,0.75,-1.29,155,13/12/2021
20211214,-0.17,-0.84,-0.49,-0.48,-1.61,0.56,-0.36,-0.44,-0.62,0.03,155,13/12/2021
20211215,0.9,1.32,0.77,-0.29,2.53,-0.05,1.52,2.57,1.52,0.7,155,13/12/2021
20211216,0.63,-3.55,-0.21,0.58,-2.81,1.94,-1.87,0.23,0.37,0.33,155,13/12/2021
20211217,-0.88,-0.18,-1.31,-2.07,-0.31,0.46,-0.58,0.27,-1.38,-1.37,155,13/12/2021
20211220,-0.89,-3.15,-1.64,-1.16,-1.13,-0.58,-1.09,-0.65,-0.13,-1.66,156,20/12/2021
20211221,0.45,3.49,2.2,3.28,2.5,1.3,1.49,0.6,0.15,2.42,156,20/12/2021
20211222,0.51,5.61,0.63,0.6,1.05,0.22,0.48,0.96,0.45,0.9,156,20/12/2021
20211223,0.28,4.47,0.88,0.01,0.59,0.88,0.36,0.49,0,0.77,156,20/12/2021
20211227,0.84,2.16,1.38,2.51,1.84,-0.08,0.6,0.3,0.62,0.86,157,27/12/2021
20211228,0.5,-0.32,0.22,-0.26,-0.77,0.39,0.43,-0.57,0.8,0.01,157,27/12/2021
20211229,0.33,-0.19,0.43,-0.56,-0.01,-0.36,0.18,0.44,0.43,-0.01,157,27/12/2021
20211230,0,-0.94,-0.5,-0.92,-0.28,0.26,-0.09,0.32,0.28,-0.16,157,27/12/2021
20211231,0.5,-0.77,0.36,0.21,-0.67,-0.72,-0.08,-0.51,0.34,-0.12,157,27/12/2021
